,entry1,entry2,link,value,name,pathway
0,73,75,ECrel,90,compound,hsa00010
1,73,74,ECrel,90,compound,hsa00010
2,73,76,ECrel,90,compound,hsa00010
3,70,73,ECrel,91,compound,hsa00010
4,69,73,ECrel,91,compound,hsa00010
5,68,70,ECrel,93,compound,hsa00010
6,68,69,ECrel,93,compound,hsa00010
7,66,76,ECrel,94,compound,hsa00010
8,71,76,ECrel,94,compound,hsa00010
9,67,76,ECrel,94,compound,hsa00010
10,66,75,ECrel,94,compound,hsa00010
11,66,74,ECrel,94,compound,hsa00010
12,66,67,ECrel,94,compound,hsa00010
13,71,75,ECrel,94,compound,hsa00010
14,67,75,ECrel,94,compound,hsa00010
15,71,74,ECrel,94,compound,hsa00010
16,67,74,ECrel,94,compound,hsa00010
17,67,71,ECrel,94,compound,hsa00010
18,64,66,ECrel,95,compound,hsa00010
19,63,66,ECrel,95,compound,hsa00010
20,18,64,ECrel,108,compound,hsa00010
21,18,63,ECrel,108,compound,hsa00010
22,62,18,ECrel,92,compound,hsa00010
23,61,80,ECrel,98,compound,hsa00010
24,60,80,ECrel,97,compound,hsa00010
25,59,60,ECrel,89,compound,hsa00010
26,53,54,ECrel,106,compound,hsa00010
27,53,79,ECrel,100,compound,hsa00010
28,54,79,ECrel,107,compound,hsa00010
29,42,50,ECrel,105,compound,hsa00010
30,44,50,ECrel,105,compound,hsa00010
31,42,49,ECrel,105,compound,hsa00010
32,44,49,ECrel,105,compound,hsa00010
33,57,59,ECrel,96,compound,hsa00010
34,64,68,ECrel,95,compound,hsa00010
35,63,68,ECrel,95,compound,hsa00010
36,55,57,ECrel,102,compound,hsa00010
37,52,57,ECrel,102,compound,hsa00010
38,52,55,ECrel,102,compound,hsa00010
39,70,71,ECrel,93,compound,hsa00010
40,69,71,ECrel,93,compound,hsa00010
41,67,47,maplink,88,compound,hsa00010
42,67,46,maplink,94,compound,hsa00010
43,66,46,maplink,94,compound,hsa00010
44,76,46,maplink,94,compound,hsa00010
45,75,46,maplink,94,compound,hsa00010
46,74,46,maplink,94,compound,hsa00010
47,71,46,maplink,94,compound,hsa00010
48,54,58,maplink,104,compound,hsa00010
49,80,138,ECrel,98,compound,hsa00010
50,61,138,ECrel,98,compound,hsa00010
51,137,80,ECrel,97,compound,hsa00010
52,137,60,ECrel,97,compound,hsa00010
53,117,59,ECrel,96,compound,hsa00010
54,117,57,ECrel,96,compound,hsa00010
55,55,126,maplink,99,compound,hsa00010
56,58,117,maplink,118,compound,hsa00010
57,60,46,maplink,89,compound,hsa00010
58,59,46,maplink,89,compound,hsa00010
59,52,46,maplink,102,compound,hsa00010
60,55,46,maplink,102,compound,hsa00010
61,57,46,maplink,102,compound,hsa00010
62,62,61,ECrel,139,compound,hsa00010
63,18,62,ECrel,139,compound,hsa00010
64,18,61,ECrel,139,compound,hsa00010
65,18,46,maplink,139,compound,hsa00010
66,46,61,maplink,139,compound,hsa00010
67,46,62,maplink,139,compound,hsa00010
68,138,137,ECrel,134,compound,hsa00010
69,140,42,ECrel,45,compound,hsa00010
70,140,44,ECrel,45,compound,hsa00010
71,140,54,ECrel,104,compound,hsa00010
72,140,58,maplink,104,compound,hsa00010
73,144,68,ECrel,93,compound,hsa00010
74,144,71,ECrel,93,compound,hsa00010
75,73,143,ECrel,90,compound,hsa00010
76,73,144,ECrel,91,compound,hsa00010
77,143,71,ECrel,94,compound,hsa00010
78,143,66,ECrel,94,compound,hsa00010
79,143,46,maplink,94,compound,hsa00010
80,143,67,ECrel,94,compound,hsa00010
81,138,150,ECrel,134,compound,hsa00010
82,137,150,ECrel,134,compound,hsa00010
83,60,150,ECrel,89,compound,hsa00010
84,150,59,ECrel,89,compound,hsa00010
85,150,46,maplink,89,compound,hsa00010
86,80,151,maplink,97,compound,hsa00010
87,137,151,maplink,97,compound,hsa00010
88,60,151,maplink,97,compound,hsa00010
89,84,48,ECrel,61,compound,hsa00020
90,84,50,maplink,61,compound,hsa00020
91,48,50,maplink,61,compound,hsa00020
92,51,52,maplink,65,compound,hsa00020
93,51,94,maplink,65,compound,hsa00020
94,51,53,maplink,65,compound,hsa00020
95,51,91,maplink,65,compound,hsa00020
96,51,46,maplink,65,compound,hsa00020
97,51,42,maplink,65,compound,hsa00020
98,52,94,maplink,65,compound,hsa00020
99,52,53,maplink,65,compound,hsa00020
100,52,91,maplink,65,compound,hsa00020
101,52,46,maplink,65,compound,hsa00020
102,52,42,maplink,65,compound,hsa00020
103,94,53,maplink,65,compound,hsa00020
104,94,91,maplink,65,compound,hsa00020
105,94,46,maplink,65,compound,hsa00020
106,94,42,maplink,65,compound,hsa00020
107,53,91,maplink,65,compound,hsa00020
108,53,46,maplink,65,compound,hsa00020
109,53,42,maplink,65,compound,hsa00020
110,91,46,ECrel,65,compound,hsa00020
111,91,42,ECrel,65,compound,hsa00020
112,49,59,maplink,63,compound,hsa00020
113,49,47,maplink,63,compound,hsa00020
114,49,42,maplink,63,compound,hsa00020
115,49,46,maplink,63,compound,hsa00020
116,49,48,maplink,63,compound,hsa00020
117,49,97,maplink,63,compound,hsa00020
118,59,47,maplink,63,compound,hsa00020
119,59,42,maplink,63,compound,hsa00020
120,59,46,maplink,63,compound,hsa00020
121,59,48,maplink,63,compound,hsa00020
122,59,97,maplink,63,compound,hsa00020
123,47,42,ECrel,63,compound,hsa00020
124,47,46,ECrel,63,compound,hsa00020
125,47,48,ECrel,63,compound,hsa00020
126,47,97,ECrel,63,compound,hsa00020
127,42,48,ECrel,63,compound,hsa00020
128,42,97,ECrel,63,compound,hsa00020
129,46,48,ECrel,63,compound,hsa00020
130,46,97,ECrel,63,compound,hsa00020
131,48,97,ECrel,63,compound,hsa00020
132,47,43,ECrel,66,compound,hsa00020
133,43,57,maplink,62,compound,hsa00020
134,43,111,maplink,62,compound,hsa00020
