,head id,head name,tail id,tail name,link type,relation name,relation value,entry1,entry2,pathway
0,cpd:C06196,cpd:C06196,cpd:C05512,cpd:C05512,reaction,rn:R12958,irreversible,46,49,hsa01232
1,cpd:C01344,cpd:C01344,cpd:C06196,cpd:C06196,reaction,rn:R10235,irreversible,45,46,hsa01232
2,cpd:C01344,cpd:C01344,cpd:C01345,cpd:C01345,reaction,rn:R03530,reversible,45,44,hsa01232
3,cpd:C01345,cpd:C01345,cpd:C06196,cpd:C06196,reaction,rn:R03531,irreversible,44,46,hsa01232
4,cpd:C00559,cpd:C00559,cpd:C05512,cpd:C05512,reaction,rn:R02556,irreversible,37,49,hsa01232
5,cpd:C00559,cpd:C00559,cpd:C00360,cpd:C00360,reaction,rn:R02089,irreversible,37,38,hsa01232
6,cpd:C00360,cpd:C00360,cpd:C00559,cpd:C00559,reaction,rn:R02088,irreversible,38,37,hsa01232
7,cpd:C00360,cpd:C00360,cpd:C00206,cpd:C00206,reaction,rn:R01547,reversible,38,39,hsa01232
8,cpd:C00206,cpd:C00206,cpd:C00131,cpd:C00131,reaction,rn:R01137,reversible,39,40,hsa01232
9,cpd:C00559,cpd:C00559,cpd:C00147,cpd:C00147,reaction,rn:R02557,reversible,37,19,hsa01232
10,cpd:C00212,cpd:C00212,cpd:C00147,cpd:C00147,reaction,rn:R01561,reversible,15,19,hsa01232
11,cpd:C00212,cpd:C00212,cpd:C00294,cpd:C00294,reaction,rn:R01560,irreversible,15,14,hsa01232
12,cpd:C00212,cpd:C00212,cpd:C00020,cpd:C00020,reaction,rn:R00185,reversible,15,7,hsa01232
13,cpd:C00020,cpd:C00020,cpd:C00212,cpd:C00212,reaction,rn:R00183,irreversible,7,15,hsa01232
14,cpd:C00147,cpd:C00147,cpd:C00020,cpd:C00020,reaction,rn:R00190,reversible,19,7,hsa01232
15,cpd:C00020,cpd:C00020,cpd:C00008,cpd:C00008,reaction,rn:R00127 rn:R00333,reversible,7,8,hsa01232
16,cpd:C00008,cpd:C00008,cpd:C00020,cpd:C00020,reaction,rn:R00122,irreversible,8,7,hsa01232
17,cpd:C00008,cpd:C00008,cpd:C00206,cpd:C00206,reaction,rn:R02017,irreversible,8,39,hsa01232
18,cpd:C00002,cpd:C00002,cpd:C00008,cpd:C00008,reaction,rn:R00331,reversible,9,8,hsa01232
19,cpd:C00002,cpd:C00002,cpd:C00008,cpd:C00008,reaction,rn:R00086,irreversible,9,8,hsa01232
20,cpd:C00002,cpd:C00002,cpd:C00020,cpd:C00020,reaction,rn:R00087,irreversible,9,7,hsa01232
21,cpd:C00262,cpd:C00262,cpd:C00130,cpd:C00130,reaction,rn:R01132,irreversible,20,2,hsa01232
22,cpd:C05512,cpd:C05512,cpd:C00262,cpd:C00262,reaction,rn:R02748,reversible,49,20,hsa01232
23,cpd:C00294,cpd:C00294,cpd:C00262,cpd:C00262,reaction,rn:R01863,reversible,14,20,hsa01232
24,cpd:C00130,cpd:C00130,cpd:C00294,cpd:C00294,reaction,rn:R01126,irreversible,2,14,hsa01232
25,cpd:C00130,cpd:C00130,cpd:C00655,cpd:C00655,reaction,rn:R01130,irreversible,2,34,hsa01232
26,cpd:C00130,cpd:C00130,cpd:C03794,cpd:C03794,reaction,rn:R01135,irreversible,2,59,hsa01232
27,cpd:C03794,cpd:C03794,cpd:C00020,cpd:C00020,reaction,rn:R01083,irreversible,59,7,hsa01232
28,cpd:C00020,cpd:C00020,cpd:C00130,cpd:C00130,reaction,rn:R00181,irreversible,7,2,hsa01232
29,cpd:C00104,cpd:C00104,cpd:C00130,cpd:C00130,reaction,rn:R00961,irreversible,3,2,hsa01232
30,cpd:C00104,cpd:C00104,cpd:C00081,cpd:C00081,reaction,rn:R00722,reversible,3,4,hsa01232
31,cpd:C00081,cpd:C00081,cpd:C00104,cpd:C00104,reaction,rn:R00719,irreversible,4,3,hsa01232
32,cpd:C00081,cpd:C00081,cpd:C00130,cpd:C00130,reaction,rn:R00720,irreversible,4,2,hsa01232
33,cpd:C00262,cpd:C00262,cpd:C00385,cpd:C00385,reaction,rn:R01769 rn:R01768,irreversible,20,32,hsa01232
34,cpd:C01762,cpd:C01762,cpd:C00385,cpd:C00385,reaction,rn:R02297,reversible,33,32,hsa01232
35,cpd:C00655,cpd:C00655,cpd:C01762,cpd:C01762,reaction,rn:R02719,irreversible,34,33,hsa01232
36,cpd:C00385,cpd:C00385,cpd:C00655,cpd:C00655,reaction,rn:R02142,irreversible,32,34,hsa01232
37,cpd:C00700,cpd:C00700,cpd:C00655,cpd:C00655,reaction,rn:R02720,irreversible,35,34,hsa01232
38,cpd:C00242,cpd:C00242,cpd:C00144,cpd:C00144,reaction,rn:R01229,irreversible,21,23,hsa01232
39,cpd:C00242,cpd:C00242,cpd:C00385,cpd:C00385,reaction,rn:R01676,irreversible,21,32,hsa01232
40,cpd:C00387,cpd:C00387,cpd:C00242,cpd:C00242,reaction,rn:R02147,reversible,24,21,hsa01232
41,cpd:C00144,cpd:C00144,cpd:C00387,cpd:C00387,reaction,rn:R01227,irreversible,23,24,hsa01232
42,cpd:C00144,cpd:C00144,cpd:C00130,cpd:C00130,reaction,rn:R01134,irreversible,23,2,hsa01232
43,cpd:C00655,cpd:C00655,cpd:C00144,cpd:C00144,reaction,rn:R01230 rn:R01231,irreversible,34,23,hsa01232
44,cpd:C00144,cpd:C00144,cpd:C00035,cpd:C00035,reaction,rn:R00332,reversible,23,22,hsa01232
45,cpd:C00035,cpd:C00035,cpd:C00144,cpd:C00144,reaction,rn:R00328,irreversible,22,23,hsa01232
46,cpd:C00035,cpd:C00035,cpd:C00044,cpd:C00044,reaction,rn:R00330,reversible,22,25,hsa01232
47,cpd:C00044,cpd:C00044,cpd:C00035,cpd:C00035,reaction,rn:R00335,irreversible,25,22,hsa01232
48,cpd:C00035,cpd:C00035,cpd:C00361,cpd:C00361,reaction,rn:R02019,irreversible,22,53,hsa01232
49,cpd:C00044,cpd:C00044,cpd:C00144,cpd:C00144,reaction,rn:R00426,irreversible,25,23,hsa01232
50,cpd:C00330,cpd:C00330,cpd:C00242,cpd:C00242,reaction,rn:R01969,reversible,50,21,hsa01232
51,cpd:C00330,cpd:C00330,cpd:C00362,cpd:C00362,reaction,rn:R01967,irreversible,50,51,hsa01232
52,cpd:C00362,cpd:C00362,cpd:C00330,cpd:C00330,reaction,rn:R01968,irreversible,51,50,hsa01232
53,cpd:C00362,cpd:C00362,cpd:C00361,cpd:C00361,reaction,rn:R02090,reversible,51,53,hsa01232
54,cpd:C00361,cpd:C00361,cpd:C00286,cpd:C00286,reaction,rn:R01857,reversible,53,52,hsa01232
55,cpd:C00299,cpd:C00299,cpd:C00106,cpd:C00106,reaction,rn:R01876,reversible,108,111,hsa01232
56,cpd:C00299,cpd:C00299,cpd:C00105,cpd:C00105,reaction,rn:R00964 rn:R00968,irreversible,108,103,hsa01232
57,cpd:C00105,cpd:C00105,cpd:C00299,cpd:C00299,reaction,rn:R00963,irreversible,103,108,hsa01232
58,cpd:C00105,cpd:C00105,cpd:C00015,cpd:C00015,reaction,rn:R00158,reversible,103,104,hsa01232
59,cpd:C00015,cpd:C00015,cpd:C00105,cpd:C00105,reaction,rn:R00155,irreversible,104,103,hsa01232
60,cpd:C00015,cpd:C00015,cpd:C00075,cpd:C00075,reaction,rn:R00156,reversible,104,105,hsa01232
61,cpd:C00075,cpd:C00075,cpd:C00015,cpd:C00015,reaction,rn:R00159,irreversible,105,104,hsa01232
62,cpd:C00075,cpd:C00075,cpd:C00105,cpd:C00105,reaction,rn:R00662,irreversible,105,103,hsa01232
63,cpd:C00075,cpd:C00075,cpd:C00063,cpd:C00063,reaction,rn:R00571 rn:R00573,irreversible,105,114,hsa01232
64,cpd:C00475,cpd:C00475,cpd:C00055,cpd:C00055,reaction,rn:R00513 rn:R00517,irreversible,115,112,hsa01232
65,cpd:C00475,cpd:C00475,cpd:C00299,cpd:C00299,reaction,rn:R01878,irreversible,115,108,hsa01232
66,cpd:C00055,cpd:C00055,cpd:C00475,cpd:C00475,reaction,rn:R00511,irreversible,112,115,hsa01232
67,cpd:C00055,cpd:C00055,cpd:C00112,cpd:C00112,reaction,rn:R00512,reversible,112,113,hsa01232
68,cpd:C00112,cpd:C00112,cpd:C00055,cpd:C00055,reaction,rn:R00514,irreversible,113,112,hsa01232
69,cpd:C00112,cpd:C00112,cpd:C00063,cpd:C00063,reaction,rn:R00570,reversible,113,114,hsa01232
70,cpd:C00063,cpd:C00063,cpd:C00112,cpd:C00112,reaction,rn:R00569,irreversible,114,113,hsa01232
71,cpd:C00112,cpd:C00112,cpd:C00705,cpd:C00705,reaction,rn:R02024,irreversible,113,118,hsa01232
72,cpd:C00063,cpd:C00063,cpd:C00055,cpd:C00055,reaction,rn:R00515,irreversible,114,112,hsa01232
73,cpd:C00881,cpd:C00881,cpd:C00239,cpd:C00239,reaction,rn:R01666,irreversible,122,117,hsa01232
74,cpd:C00239,cpd:C00239,cpd:C00881,cpd:C00881,reaction,rn:R01664,irreversible,117,122,hsa01232
75,cpd:C00881,cpd:C00881,cpd:C00526,cpd:C00526,reaction,rn:R02485,irreversible,122,127,hsa01232
76,cpd:C00239,cpd:C00239,cpd:C00705,cpd:C00705,reaction,rn:R01665,reversible,117,118,hsa01232
77,cpd:C00239,cpd:C00239,cpd:C00365,cpd:C00365,reaction,rn:R01663,irreversible,117,123,hsa01232
78,cpd:C00705,cpd:C00705,cpd:C00458,cpd:C00458,reaction,rn:R02326,reversible,118,119,hsa01232
79,cpd:C00458,cpd:C00458,cpd:C00239,cpd:C00239,reaction,rn:R01668,irreversible,119,117,hsa01232
80,cpd:C00526,cpd:C00526,cpd:C00106,cpd:C00106,reaction,rn:R02484,reversible,127,111,hsa01232
81,cpd:C00526,cpd:C00526,cpd:C00365,cpd:C00365,reaction,rn:R02099,irreversible,127,123,hsa01232
82,cpd:C00365,cpd:C00365,cpd:C00526,cpd:C00526,reaction,rn:R02102,irreversible,123,127,hsa01232
83,cpd:C00365,cpd:C00365,cpd:C01346,cpd:C01346,reaction,rn:R02098,irreversible,123,124,hsa01232
84,cpd:C01346,cpd:C01346,cpd:C00015,cpd:C00015,reaction,rn:R02018,reversible,124,104,hsa01232
85,cpd:C01346,cpd:C01346,cpd:C00460,cpd:C00460,reaction,rn:R02331,reversible,124,125,hsa01232
86,cpd:C00460,cpd:C00460,cpd:C00365,cpd:C00365,reaction,rn:R02100,irreversible,125,123,hsa01232
87,cpd:C00214,cpd:C00214,cpd:C00178,cpd:C00178,reaction,rn:R01570,reversible,131,133,hsa01232
88,cpd:C00214,cpd:C00214,cpd:C00364,cpd:C00364,reaction,rn:R01567,irreversible,131,128,hsa01232
89,cpd:C00364,cpd:C00364,cpd:C00214,cpd:C00214,reaction,rn:R01569,irreversible,128,131,hsa01232
90,cpd:C00365,cpd:C00365,cpd:C00364,cpd:C00364,reaction,rn:R02101 rn:R06613,irreversible,123,128,hsa01232
91,cpd:C00364,cpd:C00364,cpd:C00363,cpd:C00363,reaction,rn:R02094,irreversible,128,129,hsa01232
92,cpd:C00363,cpd:C00363,cpd:C00364,cpd:C00364,reaction,rn:R02092,irreversible,129,128,hsa01232
93,cpd:C00363,cpd:C00363,cpd:C00459,cpd:C00459,reaction,rn:R02093,reversible,129,130,hsa01232
94,cpd:C00459,cpd:C00459,cpd:C00363,cpd:C00363,reaction,rn:R02095,irreversible,130,129,hsa01232
95,cpd:C00459,cpd:C00459,cpd:C00364,cpd:C00364,reaction,rn:R11323,irreversible,130,128,hsa01232
