,entry1,entry2,link,value,name,pathway
0,50,81,ECrel,75,compound,hsa04070
1,81,83,ECrel,75,compound,hsa04070
2,45,81,ECrel,75,compound,hsa04070
3,81,105,ECrel,75,compound,hsa04070
4,78,81,ECrel,75,compound,hsa04070
5,50,83,ECrel,75,compound,hsa04070
6,45,50,ECrel,75,compound,hsa04070
7,50,105,ECrel,75,compound,hsa04070
8,50,78,ECrel,75,compound,hsa04070
9,45,83,ECrel,72,compound,hsa04070
10,45,83,ECrel,75,compound,hsa04070
11,83,105,ECrel,72,compound,hsa04070
12,83,105,ECrel,75,compound,hsa04070
13,78,83,ECrel,75,compound,hsa04070
14,45,78,ECrel,75,compound,hsa04070
15,78,105,ECrel,75,compound,hsa04070
16,81,90,ECrel,49,compound,hsa04070
17,90,106,ECrel,66,compound,hsa04070
18,79,90,ECrel,66,compound,hsa04070
19,51,90,ECrel,66,compound,hsa04070
20,79,106,ECrel,73,compound,hsa04070
21,79,106,ECrel,66,compound,hsa04070
22,51,106,ECrel,66,compound,hsa04070
23,51,79,ECrel,66,compound,hsa04070
24,80,82,ECrel,74,compound,hsa04070
25,82,89,ECrel,74,compound,hsa04070
26,82,87,ECrel,74,compound,hsa04070
27,82,103,ECrel,74,compound,hsa04070
28,80,89,ECrel,66,compound,hsa04070
29,80,89,ECrel,74,compound,hsa04070
30,80,87,ECrel,74,compound,hsa04070
31,80,103,ECrel,74,compound,hsa04070
32,87,89,ECrel,74,compound,hsa04070
33,89,103,ECrel,74,compound,hsa04070
34,87,103,ECrel,74,compound,hsa04070
35,104,106,ECrel,73,compound,hsa04070
36,79,104,ECrel,73,compound,hsa04070
37,83,88,ECrel,72,compound,hsa04070
38,83,86,ECrel,72,compound,hsa04070
39,45,88,ECrel,72,compound,hsa04070
40,45,86,ECrel,72,compound,hsa04070
41,88,105,ECrel,72,compound,hsa04070
42,86,105,ECrel,72,compound,hsa04070
43,86,88,ECrel,72,compound,hsa04070
44,86,87,ECrel,47,compound,hsa04070
45,87,104,ECrel,47,compound,hsa04070
46,86,104,ECrel,47,compound,hsa04070
47,91,101,ECrel,65,compound,hsa04070
48,46,91,ECrel,60,compound,hsa04070
49,100,102,ECrel,56,compound,hsa04070
50,99,100,ECrel,55,compound,hsa04070
51,92,94,ECrel,59,compound,hsa04070
52,96,99,ECrel,63,compound,hsa04070
53,95,96,ECrel,58,compound,hsa04070
54,94,95,ECrel,67,compound,hsa04070
55,93,94,ECrel,67,compound,hsa04070
56,78,94,ECrel,67,compound,hsa04070
57,93,95,ECrel,67,compound,hsa04070
58,78,95,ECrel,67,compound,hsa04070
59,78,93,ECrel,67,compound,hsa04070
60,51,102,ECrel,61,compound,hsa04070
61,98,102,ECrel,61,compound,hsa04070
62,51,98,ECrel,61,compound,hsa04070
63,98,103,ECrel,62,compound,hsa04070
64,97,98,ECrel,62,compound,hsa04070
65,97,103,ECrel,62,compound,hsa04070
66,93,97,ECrel,57,compound,hsa04070
67,50,103,ECrel,71,compound,hsa04070
68,51,103,ECrel,71,compound,hsa04070
69,85,103,ECrel,71,compound,hsa04070
70,50,51,ECrel,71,compound,hsa04070
71,50,85,ECrel,71,compound,hsa04070
72,51,85,ECrel,71,compound,hsa04070
73,84,85,ECrel,70,compound,hsa04070
74,78,84,ECrel,69,compound,hsa04070
75,80,90,ECrel,66,compound,hsa04070
76,89,90,ECrel,66,compound,hsa04070
77,80,106,ECrel,66,compound,hsa04070
78,79,80,ECrel,66,compound,hsa04070
79,51,80,ECrel,66,compound,hsa04070
80,89,106,ECrel,66,compound,hsa04070
81,79,89,ECrel,66,compound,hsa04070
82,51,89,ECrel,66,compound,hsa04070
83,50,82,ECrel,75,compound,hsa04070
84,81,82,ECrel,75,compound,hsa04070
85,82,83,ECrel,75,compound,hsa04070
86,45,82,ECrel,75,compound,hsa04070
87,82,105,ECrel,75,compound,hsa04070
88,78,82,ECrel,75,compound,hsa04070
89,50,92,ECrel,59,compound,hsa04070
90,50,94,ECrel,59,compound,hsa04070
91,90,225,ECrel,66,compound,hsa04070
92,79,225,ECrel,66,compound,hsa04070
93,106,225,ECrel,66,compound,hsa04070
94,80,225,ECrel,66,compound,hsa04070
95,89,225,ECrel,66,compound,hsa04070
96,81,225,ECrel,49,compound,hsa04070
97,90,225,ECrel,49,compound,hsa04070
98,228,225,ECrel,49,compound,hsa04070
99,88,228,ECrel,48,compound,hsa04070
100,81,228,ECrel,49,compound,hsa04070
101,90,228,ECrel,49,compound,hsa04070
102,88,265,ECrel,72,compound,hsa04070
103,86,265,ECrel,72,compound,hsa04070
104,45,265,ECrel,72,compound,hsa04070
105,105,265,ECrel,72,compound,hsa04070
106,45,265,ECrel,75,compound,hsa04070
107,105,265,ECrel,75,compound,hsa04070
108,82,265,ECrel,75,compound,hsa04070
