,entry1,entry2,link,value,name,pathway
0,15,1650,PPrel,--|,inhibition,hsa05206
1,29,31,PPrel,--|,inhibition,hsa05206
2,30,31,PPrel,--|,inhibition,hsa05206
3,22,25,PPrel,--|,inhibition,hsa05206
4,23,25,PPrel,--|,inhibition,hsa05206
5,24,25,PPrel,--|,inhibition,hsa05206
6,199,201,PPrel,--|,inhibition,hsa05206
7,200,201,PPrel,--|,inhibition,hsa05206
8,8,9,PPrel,--|,inhibition,hsa05206
9,8,10,PPrel,--|,inhibition,hsa05206
10,8,4,PPrel,--|,inhibition,hsa05206
11,8,21,PPrel,--|,inhibition,hsa05206
12,8,14,PPrel,--|,inhibition,hsa05206
13,8,7,PPrel,--|,inhibition,hsa05206
14,13,159,PPrel,--|,inhibition,hsa05206
15,11,12,PPrel,--|,inhibition,hsa05206
16,18,162,PPrel,--|,inhibition,hsa05206
17,18,163,PPrel,--|,inhibition,hsa05206
18,18,161,PPrel,--|,inhibition,hsa05206
19,18,164,PPrel,--|,inhibition,hsa05206
20,16,17,PPrel,--|,inhibition,hsa05206
21,3,28,PPrel,--|,inhibition,hsa05206
22,3,5,PPrel,--|,inhibition,hsa05206
23,26,178,PPrel,--|,inhibition,hsa05206
24,27,180,PPrel,--|,inhibition,hsa05206
25,27,179,PPrel,--|,inhibition,hsa05206
26,19,6,PPrel,--|,inhibition,hsa05206
27,32,33,PPrel,--|,inhibition,hsa05206
28,187,188,PPrel,--|,inhibition,hsa05206
29,191,192,PPrel,--|,inhibition,hsa05206
30,20,1657,PPrel,--|,inhibition,hsa05206
31,195,196,PPrel,--|,inhibition,hsa05206
32,111,114,PPrel,--|,inhibition,hsa05206
33,100,141,PPrel,--|,inhibition,hsa05206
34,101,142,PPrel,--|,inhibition,hsa05206
35,110,140,PPrel,--|,inhibition,hsa05206
36,110,1686,PPrel,--|,inhibition,hsa05206
37,102,143,PPrel,--|,inhibition,hsa05206
38,102,144,PPrel,--|,inhibition,hsa05206
39,103,271,PPrel,--|,inhibition,hsa05206
40,127,128,PPrel,--|,inhibition,hsa05206
41,130,131,PPrel,--|,inhibition,hsa05206
42,115,277,PPrel,--|,inhibition,hsa05206
43,119,278,PPrel,--|,inhibition,hsa05206
44,119,279,PPrel,--|,inhibition,hsa05206
45,119,281,PPrel,--|,inhibition,hsa05206
46,123,126,PPrel,--|,inhibition,hsa05206
47,294,295,PPrel,--|,inhibition,hsa05206
48,294,296,PPrel,--|,inhibition,hsa05206
49,294,297,PPrel,--|,inhibition,hsa05206
50,294,298,PPrel,--|,inhibition,hsa05206
51,294,299,PPrel,--|,inhibition,hsa05206
52,314,317,PPrel,--|,inhibition,hsa05206
53,316,318,PPrel,--|,inhibition,hsa05206
54,316,319,PPrel,--|,inhibition,hsa05206
55,316,321,PPrel,--|,inhibition,hsa05206
56,457,471,PPrel,--|,inhibition,hsa05206
57,459,508,PPrel,--|,inhibition,hsa05206
58,466,500,PPrel,--|,inhibition,hsa05206
59,520,521,PPrel,--|,inhibition,hsa05206
60,520,522,PPrel,--|,inhibition,hsa05206
61,523,524,PPrel,--|,inhibition,hsa05206
62,539,541,PPrel,--|,inhibition,hsa05206
63,540,542,PPrel,--|,inhibition,hsa05206
64,553,555,PPrel,--|,inhibition,hsa05206
65,553,554,PPrel,--|,inhibition,hsa05206
66,458,474,PPrel,--|,inhibition,hsa05206
67,458,475,PPrel,--|,inhibition,hsa05206
68,460,480,PPrel,--|,inhibition,hsa05206
69,461,487,PPrel,--|,inhibition,hsa05206
70,463,487,PPrel,--|,inhibition,hsa05206
71,462,487,PPrel,--|,inhibition,hsa05206
72,462,488,PPrel,--|,inhibition,hsa05206
73,462,489,PPrel,--|,inhibition,hsa05206
74,464,494,PPrel,--|,inhibition,hsa05206
75,465,495,PPrel,--|,inhibition,hsa05206
76,467,501,PPrel,--|,inhibition,hsa05206
77,512,517,PPrel,--|,inhibition,hsa05206
78,513,517,PPrel,--|,inhibition,hsa05206
79,514,517,PPrel,--|,inhibition,hsa05206
80,515,518,PPrel,--|,inhibition,hsa05206
81,516,519,PPrel,--|,inhibition,hsa05206
82,543,547,PPrel,--|,inhibition,hsa05206
83,543,548,PPrel,--|,inhibition,hsa05206
84,544,549,PPrel,--|,inhibition,hsa05206
85,545,549,PPrel,--|,inhibition,hsa05206
86,546,550,PPrel,--|,inhibition,hsa05206
87,551,552,PPrel,--|,inhibition,hsa05206
88,1298,1299,PPrel,--|,inhibition,hsa05206
89,1300,1301,PPrel,--|,inhibition,hsa05206
90,1309,1310,PPrel,--|,inhibition,hsa05206
91,1311,1313,PPrel,--|,inhibition,hsa05206
92,1312,1313,PPrel,--|,inhibition,hsa05206
93,1314,1316,PPrel,--|,inhibition,hsa05206
94,1315,1316,PPrel,--|,inhibition,hsa05206
95,1317,1318,PPrel,--|,inhibition,hsa05206
96,1317,1319,PPrel,--|,inhibition,hsa05206
97,1317,1320,PPrel,--|,inhibition,hsa05206
98,1321,1322,PPrel,--|,inhibition,hsa05206
99,1321,1323,PPrel,--|,inhibition,hsa05206
100,1321,1324,PPrel,--|,inhibition,hsa05206
101,1321,1325,PPrel,--|,inhibition,hsa05206
102,1326,1327,PPrel,--|,inhibition,hsa05206
103,1328,1330,PPrel,--|,inhibition,hsa05206
104,1329,1330,PPrel,--|,inhibition,hsa05206
105,1331,1332,PPrel,--|,inhibition,hsa05206
106,1285,1286,PPrel,--|,inhibition,hsa05206
107,1285,1287,PPrel,--|,inhibition,hsa05206
108,1285,1288,PPrel,--|,inhibition,hsa05206
109,1285,1289,PPrel,--|,inhibition,hsa05206
110,1290,1291,PPrel,--|,inhibition,hsa05206
111,1290,1292,PPrel,--|,inhibition,hsa05206
112,1293,1294,PPrel,--|,inhibition,hsa05206
113,1293,1295,PPrel,--|,inhibition,hsa05206
114,1302,1303,PPrel,--|,inhibition,hsa05206
115,1302,1304,PPrel,--|,inhibition,hsa05206
116,1333,1334,PPrel,--|,inhibition,hsa05206
117,1335,1337,PPrel,--|,inhibition,hsa05206
118,1336,1337,PPrel,--|,inhibition,hsa05206
119,1418,1422,PPrel,--|,inhibition,hsa05206
120,1419,1422,PPrel,--|,inhibition,hsa05206
121,1420,1423,PPrel,--|,inhibition,hsa05206
122,1421,1424,PPrel,--|,inhibition,hsa05206
123,1425,1426,PPrel,--|,inhibition,hsa05206
124,1427,1429,PPrel,--|,inhibition,hsa05206
125,1428,1429,PPrel,--|,inhibition,hsa05206
126,1434,1435,PPrel,--|,inhibition,hsa05206
127,1437,1438,PPrel,--|,inhibition,hsa05206
128,1406,1401,PPrel,--|,inhibition,hsa05206
129,1406,1402,PPrel,--|,inhibition,hsa05206
130,1406,1403,PPrel,--|,inhibition,hsa05206
131,1407,1404,PPrel,--|,inhibition,hsa05206
132,1407,1405,PPrel,--|,inhibition,hsa05206
133,1408,1413,PPrel,--|,inhibition,hsa05206
134,1410,1414,PPrel,--|,inhibition,hsa05206
135,1410,1415,PPrel,--|,inhibition,hsa05206
136,1410,1416,PPrel,--|,inhibition,hsa05206
137,1412,1417,PPrel,--|,inhibition,hsa05206
138,1430,1431,PPrel,--|,inhibition,hsa05206
139,1432,1433,PPrel,--|,inhibition,hsa05206
140,1432,1439,PPrel,--|,inhibition,hsa05206
141,1396,1397,PPrel,--|,inhibition,hsa05206
142,1396,1400,PPrel,--|,inhibition,hsa05206
143,1494,1497,PPrel,--|,inhibition,hsa05206
144,1494,1498,PPrel,--|,inhibition,hsa05206
145,1494,1499,PPrel,--|,inhibition,hsa05206
146,1494,1500,PPrel,--|,inhibition,hsa05206
147,1494,1501,PPrel,--|,inhibition,hsa05206
148,1495,1502,PPrel,--|,inhibition,hsa05206
149,1495,1503,PPrel,--|,inhibition,hsa05206
150,1496,1504,PPrel,--|,inhibition,hsa05206
151,1496,1505,PPrel,--|,inhibition,hsa05206
152,1496,1506,PPrel,--|,inhibition,hsa05206
153,1519,1520,PPrel,--|,inhibition,hsa05206
154,1521,1522,PPrel,--|,inhibition,hsa05206
155,1523,1524,PPrel,--|,inhibition,hsa05206
156,1523,1525,PPrel,--|,inhibition,hsa05206
157,1526,1527,PPrel,--|,inhibition,hsa05206
158,1526,1528,PPrel,--|,inhibition,hsa05206
159,1483,1577,PPrel,--|,inhibition,hsa05206
160,1484,1577,PPrel,--|,inhibition,hsa05206
